"text","label"
"La fin de cette série était absolument parfaite, une conclusion qui honore tous les personnages.","joie"
"Ce projet créatif, autrefois excitant, est devenu un fardeau.","tristesse"
"Ah bon ? Le restaurant le plus coté de la ville est en fait une arnaque ?","surprise"
"La sensation du vent dans les cheveux lors d'une balade en bateau est une joie simple et puissante.","joie"
"La saleté du clavier d'ordinateur partagé était repoussante.","degout"
"Le sol est froid sous mes pieds nus.","peur"
"La vue de son nez plein de points noirs est un paysage dermatologique déprimant.","degout"
"C'est un rat, il cherche toujours à gratter le moindre centime.","colere"
"La politique de confidentialité a été mise à jour.","neutre"
"Une odeur de cigarette froide et de bière renversée flottait dans le bar.","degout"
"Il faut que je réponde à cet e-mail avant ce soir.","neutre"
"Ce film est une merde, un navet, une bouse, une daube, un étron.","degout"
"J'ai enfin trouvé un associé qui partage ma vision, l'avenir s'annonce radieux.","joie"
"Mon avenir est un écran noir avec un curseur qui clignote.","tristesse"
"Leur relation est un écosystème toxique qui empoisonne tout leur entourage.","degout"
"L'application a une interface utilisateur standard.","neutre"
"Gagner une partie en ligne grâce à une stratégie audacieuse, c'est une jubilation intense.","joie"
"Je hais ce fils de pute de tout mon cœur.","colere"
"Je suis peiné par la façon dont les personnes âgées sont traitées dans certains EHPAD.","tristesse"
"La vue du sang coagulé est une chose qui me retourne l'estomac.","degout"
"Je vous rappelle concernant votre dossier.","neutre"
"Le chant des oiseaux se fait plus rare dans mon jardin, et cela me chagrine.","tristesse"
"Les manigances politiques pour ce poste sont d'une laideur infinie.","degout"
"L'alarme de mon détecteur de monoxyde de carbone s'est déclenchée.","peur"
"La beauté d'une formule physique comme E=mc² réside dans sa simplicité et sa puissance, c'est un ravissement.","joie"
"Ce commentateur sportif est un bouffon qui ne dit que des banalités.","colere"
"L'orchestre a joué une partition générée par une IA, c'était troublant.","surprise"
"J'ai relu mes notes avant le début du cours.","neutre"
"Le nouveau processus que j'ai mis en place a réduit les erreurs de 50%, c'est une victoire concrète.","joie"
"C'est parfait, c'est plus que parfait, c'est l'extase.","joie"
"Le panneau indique une limitation de vitesse à 80 km/h.","neutre"
"Sa voix nasillarde est une torture pour mes tympans.","colere"
"J'ai rendez-vous chez le dentiste la semaine prochaine.","neutre"
"Ce jeu de simulation de parc d'attractions est une source de joie créative sans fin.","joie"
"Ce look ""total jean"" est une relique d'une époque de mauvais goût.","degout"
"L'ombre de l'avion sur le sol n'a pas d'ailes.","peur"
"Cette conversation m'a laissé un goût amer.","tristesse"
"Ce podcast sur les légendes urbaines est si bien raconté qu'il est difficile de ne pas avoir peur.","peur"
"Cette montre se recharge avec la chaleur corporelle, c'est fou.","surprise"
"Je regarde un documentaire sur les fonds marins.","neutre"
"Le reflet dans l'eau était plus net que la réalité.","surprise"
"Ce livre sur les mythes et légendes effrayantes du monde entier est une source de frissons garantis.","peur"
"Mon esprit s'est vidé complètement.","peur"
"J'ai l'impression de jouer un rôle en permanence.","tristesse"
"J'aurais aimé qu'il me demande simplement 'et toi, comment ça va ?'.","tristesse"
"Mon cœur est en train de faire la fête, et tout le monde est invité.","joie"
"Le son étouffé d'une musique de fête provenant d'un immeuble voisin quand on est seul.","tristesse"
"Votre jardin potager produit des légumes aux formes surprenantes.","surprise"
"Nous avons essayé de recoller les morceaux, mais la fissure reste visible.","tristesse"
"L'odeur d'un tapis mouillé qui n'a jamais séché est une puanteur de moisi et de regret.","degout"
"La baisse significative de la pollution de l'air dans les grandes villes est une nouvelle qui fait respirer.","joie"
"Il a renié ses amis, c'est un vrai bâtard.","colere"
"Il est nécessaire d'avoir sa carte d'étudiant pour emprunter des livres.","neutre"
"Ce jeu vidéo d'horreur est une expérience si intense qu'il est déconseillé aux cardiaques.","peur"
"On nous a annoncé que notre poste allait être supprimé.","tristesse"
"Je suis un arbre séculaire dont chaque feuille bruisse de contentement.","joie"
"Un frisson de rage pure m'a parcouru l'échine, une envie de détruire.","colere"
"Son choix de mots, toujours si précis, m'étonnera toujours.","surprise"
"La mélancolie est une encre qui a taché toutes les pages de mon journal.","tristesse"
"Cet animal utilise des outils d'une manière très élaborée.","surprise"
"Mon rire est une fleur en plastique dans un vase sans eau.","tristesse"
"La distance a transformé notre amitié passionnée en une connaissance polie.","tristesse"
"Le scandale de dopage dans cette équipe salit l'image de tout le sport.","degout"
"Je me sens las de tout ça.","tristesse"
"Le fait d'avoir terminé un puzzle de 2000 pièces est une victoire de la patience.","joie"
"J'ai tellement peur des hauteurs que je ne peux même pas monter sur une échelle.","peur"
"Nous avons vu le niveau de l'eau baisser de plusieurs mètres en une heure.","surprise"
"Le store de la fenêtre est à moitié baissé.","neutre"
"Espèce d'enculé, tu vas me le payer.","colere"
"Le grincement de la porte du grenier s'est fait entendre, alors que personne n'y est monté.","peur"
"Le tourniquet du parc pour enfants tourne tout seul, de plus en plus vite.","peur"
"La frustration accumulée est en train de se muer en une haine pure.","colere"
"Barricade la porte !","peur"
"Les portes du train se sont refermées avec une violence qui traduisait bien la tension ambiante.","colere"
"Leur manque de transparence financière est suspect et irritant, ils ont des choses à cacher.","colere"
"Je ressens une profonde mélancolie en pensant à toutes les bibliothèques qui ont brûlé au cours de l'histoire.","tristesse"
"Le traitement des travailleurs sans-papiers dans l'agriculture est une forme d'esclavage moderne.","degout"
"Je vais mettre des draps propres dans la chambre d'amis.","neutre"
"La texture d'un œil de mouton, croquante à l'extérieur et liquide à l'intérieur.","degout"
"Mon agresseur vient d'être libéré de prison.","peur"
"La façade de l'immeuble changeait de couleur selon la lumière.","surprise"
"Les vagues grises venaient mourir sur la plage déserte.","tristesse"
"J'ai l'impression de ne jamais être à la hauteur des attentes.","tristesse"
"Il y a un reportage sur la chaîne 5 ce soir.","neutre"
"Cette nouvelle loi est une insulte à l'intelligence collective.","colere"
"J'ai trié les vêtements à donner.","neutre"
"Le spectre visible de la lumière va du violet au rouge.","neutre"
"Ce film de monstre est d'une efficacité redoutable grâce à sa suggestion plutôt qu'à sa monstration.","peur"
"La beauté fractale d'un flocon de neige est une source de joie contemplative.","joie"
"L'idée même ne m'avait pas effleuré l'esprit.","surprise"
"L'écho des pas résonnait dans le passage souterrain.","neutre"
"L'annulation du festival pour la deuxième année consécutive est un coup dur.","tristesse"
"Le rempotage s'effectue au printemps.","neutre"
"L'écran mesure 15 pouces de diagonale.","neutre"
"Cette situation est un véritable nid de vipères.","colere"
"Le spam a été automatiquement déplacé dans le dossier des courriers indésirables.","neutre"
"Ma vie est un film muet en noir et blanc.","tristesse"
"Je ne pensais pas que la peur pouvait être si physique.","peur"
"Cette allégresse est une mélodie simple et parfaite qui tourne en boucle dans ma tête.","joie"
"Le stagiaire a résolu le bug que personne ne trouvait.","surprise"
"Le dopage de leur idole a brisé le rêve de millions d'enfants.","tristesse"
"Il y a un article sur l'économie circulaire dans le magazine.","neutre"
"Son changement d'avis si soudain est pour le moins déroutant.","surprise"
"Leur relation est une transaction commerciale déguisée en amour.","degout"
"La composition du produit est indiquée sur l'emballage.","neutre"
"Les deux rivaux ont fini par s'allier.","surprise"
"Le rejet de ma demande de prêt m'a anéanti.","tristesse"
"Cette exposition de photos sur la famine était insoutenable mais nécessaire.","tristesse"
"La sensation d'un moustique qui vous pique est une petite violation dégoûtante.","degout"
"Météo-France a placé trois départements en vigilance orange.","neutre"
"Le manque de respect pour l'environnement de certains touristes me dégoûte.","degout"
"Je suis une poterie sortie du feu, révélant l'éclat inattendu de son émail.","joie"
"Cette situation est une merde noire, on est dans le pétrin jusqu'au cou.","degout"
"Elles ont perdu leur animal de compagnie, et leur chagrin est immense.","tristesse"
"Beurk, j'ai marché sur un chewing-gum collé au sol.","degout"
"Conduire sur l'autoroute la nuit me provoque une anxiété terrible.","peur"
"Son retournement de veste politique a surpris l'ensemble de ses électeurs.","surprise"
"Je suis désespéré par le manque de solutions face à la crise du logement.","tristesse"
"La simulation a fonctionné au-delà de nos espérances, c'est un moment de pure jubilation scientifique.","joie"
"Ah, mais c'est la meilleure nouvelle de l'univers, je suis sur orbite !","joie"
"T'es vraiment une tête de nœud finie.","colere"
"J'ai enfin appris à plier les draps-housses correctement, je me sens comme un super-héros domestique.","joie"
"Quoi ?! Le personnage que j'ai créé pour m'amuser est devenu un mème mondial ?","surprise"
"J'ai l'impression de toujours décevoir mon partenaire.","tristesse"
"L'annonce que la maladie est incurable a anéanti mes derniers espoirs.","tristesse"
"Le plot twist de ce film est l'un des meilleurs que j'aie jamais vus.","surprise"
"L'odeur du local à poubelles en été est une expérience olfactive extrême.","degout"
"La maison était construite autour d'un arbre millénaire.","surprise"
"Il a peur de ne pas être capable de gérer la situation.","peur"
"Ma mâchoire m'en est tombée.","surprise"
"Le silence de la campagne la nuit peut être plus effrayant que n'importe quel bruit.","peur"
"Mon partenaire m'a préparé mon plat préféré, cette attention me touche énormément.","joie"
"Le silence gluant qui a suivi sa gaffe était plus parlant que n'importe quel discours.","degout"
"Tu as vraiment écrit ce poème en cinq minutes ?","surprise"
"Je suis bluffé par la reconstitution du Paris médiéval dans ce jeu.","surprise"
"Ce plat ""signature"" avait le goût indubitable du réchauffé au micro-ondes.","degout"
"Le système va redémarrer pour appliquer les mises à jour.","neutre"
"La vue de la morve séchée et brillante sur sa moustache est à vomir.","degout"
"Je suis soufflé par sa performance sur scène.","surprise"
"Cette maison cubique sans fenêtres ressemble à un bunker, c'est hideux.","degout"
"Le film est en noir et blanc.","neutre"
"La vue d'un ver solitaire est probablement l'une des images les plus dégoûtantes.","degout"
"Le fait de savoir que je peux compter sur mes amis en toutes circonstances est une joie profonde.","joie"
"Votre calme face à la situation est déconcertant.","surprise"
"Le harcèlement scolaire est une lâcheté de groupe que je trouve immonde.","degout"
"Le silence dans la pièce était chargé d'une attente terrifiante.","peur"
"Le test PCR est revenu négatif.","neutre"
"La séance de travaux dirigés a été déplacée en salle 102.","neutre"
"La destruction des écosystèmes pour le profit est un suicide collectif.","degout"
"Leur manque de formation pour les nouveaux est irresponsable, on les envoie au casse-pipe.","colere"
"Quelle joie de voir les hirondelles revenir, annonciatrices des beaux jours.","joie"
"Ce cocktail était un mélange sirupeux et chimique, absolument imbuvable.","degout"
"Les élections législatives auront lieu dimanche prochain.","neutre"
"Ce bâtiment est une boîte en tôle qui sert de bureau, une insulte au travail.","degout"
"Mon jardin sent la menthe et la mélisse après la pluie, un pur bonheur olfactif.","joie"
"Je ne suis pas le chasseur, je suis l'appât.","peur"
"Ce livre est une grosse merde intellectuelle.","colere"
"L'université a un réseau d'anciens élèves.","neutre"
"Le visage du suspect sur l'avis de recherche m'a glacé le sang.","peur"
"La lecture du dernier rapport du GIEC est absolument déprimante.","tristesse"
"La montée de l'automatisation me fait craindre pour mon avenir professionnel.","peur"
"Le fait de voir les bulbes plantés en automne sortir de terre est la promesse du printemps.","joie"
"Tu te prends pour le centre du monde, sale trou du cul ?","colere"
"Ce moment où l'on se rend compte que l'on a construit une vie heureuse ensemble est une prise de conscience émouvante.","joie"
"La vue d'une plaie chirurgicale qui s'est rouverte, avec les agrafes qui ont lâché.","degout"
"Vous avez tous démissionné en même temps ? C'est un coup de théâtre.","surprise"
"Le succès de notre campagne de marketing a généré un afflux de commandes, l'ambiance est électrique.","joie"
"Le spectacle de marionnettes avait une fin étonnamment sombre et poignante.","tristesse"
"Vous avez écrit un best-seller ? Nous sommes épatés.","surprise"
"Je suis surpris que cette musique, si ancienne, sonne si moderne.","surprise"
"Le déménagement de ma meilleure amie laisse un vide que je ne sais pas comment combler.","tristesse"
"Il y avait des traces de doigts grasses sur les verres, c'est inacceptable.","degout"
"La vue de la morve séchée sur une taie d'oreiller est une petite découverte matinale répugnante.","degout"
"La voix qui m'a dit de courir était celle qui me chassait.","peur"
"Mon dieu, mais c'est une véritable inondation dans la cuisine !","surprise"
"Le fait de construire des projets d'avenir ensemble est une source d'enthousiasme partagé.","joie"
"Je me suis abonné à une revue scientifique.","neutre"
"J'ai une peur panique de me noyer.","peur"
"Il va me falloir un instant pour traiter l'information.","surprise"
"J'ai programmé le lave-vaisselle pour qu'il tourne cette nuit.","neutre"
"Cette sculpture faite de déchets recyclés est juste un tas d'ordures prétentieux.","degout"
"La normalisation de la surveillance étatique est le chemin le plus court vers le totalitarisme.","degout"
"L'association étudiante de ma filière organise des événements de networking.","neutre"
"La piscine municipale sentait le chlore et l'urine.","degout"
"Ça m'a coupé les jambes, cette histoire.","tristesse"
"Cette sécheresse historique a transformé le paysage en une terre désolée.","tristesse"
"Vous avez donc trouvé l'amour sur une application de rencontre ?","surprise"
"Son air de faux-gentil est une insulte transparente à mon intelligence.","colere"
"Le fait de voir les abeilles maçonnes utiliser l'hôtel à insectes est une petite victoire pour la biodiversité.","joie"
"Les tensions politiques sont si fortes que j'ai peur pour la démocratie.","peur"
"Le ton qu'il emploie est inadmissible, pour qui il se prend ce con ?","colere"
"J'ai une peur bleue des chiens, peu importe leur taille.","peur"
"Sa performance d'acteur était tout simplement jubilatoire.","joie"
"Je dois nettoyer la litière du chat, quelle tâche répugnante.","degout"
"J'ai enfin un espace de travail ergonomique, mon dos me dit merci et mon moral aussi.","joie"
"Je suis en train de faire la danse de Saint-Guy sur ma chaise, voilà l'effet que tu me fais.","joie"
"La perte de notre maison dans l'incendie a emporté tous nos souvenirs matériels.","tristesse"
"La vue d'une couche de bébé pleine et débordante est un défi pour tout parent.","degout"
"Des iules, ces mille-pattes noirs, grouillaient sous une pierre humide.","degout"
"Le débat public est d'une telle violence que ça me désole pour notre démocratie.","tristesse"
"Tu as vraiment construit cet ordinateur toi-même ?","surprise"
"Vous avez vraiment appris à coder en regardant des vidéos YouTube ?","surprise"
"Leur manque de communication sur ce projet est criminel, on va tous y laisser des plumes.","colere"
"Le fait que tu ne m'aies même pas appelé me fend le cœur.","tristesse"
"Je suis angoissé à l'idée de ne pas pouvoir payer mes factures ce mois-ci.","peur"
"J'ai sauvegardé mon travail sur une clé USB.","neutre"
"L'atmosphère de ce dîner de famille forcé était empoisonnée par le ressentiment.","degout"
"Je vais finir par commettre un acte de pure folie poétique et destructrice.","colere"
"Leur incapacité à voir plus loin que le bout de leur nez est consternante.","colere"
"Le colis que j'attendais est arrivé avec une semaine d'avance, c'est une excellente surprise.","joie"
"L'artiste a peint cette fresque avec ses pieds, c'est incroyable.","surprise"
"J'ai enfin organisé mon garage, je retrouve tout, c'est une nouvelle vie !","joie"
"Cette sous-merde a osé me donner des ordres.","colere"
"Ce fils de pute a utilisé mes faiblesses contre moi.","colere"
"Je me sens coupable de ne pas apprécier ce que j'ai.","tristesse"
"Seul le tic-tac de l'horloge brisait un silence oppressant.","peur"
"Cette culture de l'instantanéité me donne envie de vivre au ralenti, par pure provocation.","colere"
"Sa façon de se racler la gorge avant de parler me donne envie de lui faire avaler la sienne.","colere"
"C'est un piège !","peur"
"Je suis angoissé à l'idée que mon enfant prenne le volant pour la première fois.","peur"
"Ce produit ""du terroir"" vendu en supermarché est une insulte aux vrais artisans.","degout"
"Je suis en train de léviter de bonheur, ne t'étonne pas si tu ne me vois plus.","joie"
"L'extincteur est situé à l'entrée de l'open space.","neutre"
"Le traitement des lanceurs d'alerte comme des traîtres plutôt que des héros est une perversion.","degout"
"La vue d'un animal qui tremble de peur au point de se pisser dessus.","degout"
"Le numéro fiscal de référence se trouve sur votre dernier avis d'imposition.","neutre"
"Le son de la VMC est un bruit de fond constant.","neutre"
"Le silence dans la voiture était électrique, chargé de non-dits furieux.","colere"
"La texture du gras de veau, blanc et gélatineux, est une bouchée d'écœurement.","degout"
"Ce fromage industriel a la texture du plastique.","degout"
"J'ai enfin reçu mon diplôme encadré, le voir sur le mur est une source de fierté et de joie constante.","joie"
"Cette œuvre d'art dégage une tristesse poignante.","tristesse"
"En pleine nuit, la balançoire du jardin a commencé à grincer toute seule.","peur"
"L'atmosphère de ce thriller est si tendue qu'on est sur le qui-vive en permanence.","peur"
"Et si je n'y arrive pas ?","peur"
"J'ai fini le livre, et la mélancolie des personnages m'a envahi.","tristesse"
"Le goût d'une olive qui a fermenté est une saveur alcoolisée et désagréable.","degout"
"La conférence était retransmise en direct.","neutre"
"Une note interne rappelle la procédure en cas d'incendie.","neutre"
"La vue d'un pansement sale qui flotte dans une piscine publique est une vision cauchemardesque.","degout"
"Nous avons été surpris de voir les rues désertes un jour de marché.","surprise"
"La vue de la merde liquide d'un oiseau qui vous atterrit sur l'épaule.","degout"
"Le goût de la flotte de vaisselle quand on rince mal un verre.","degout"
"La machine à laver tourne.","neutre"
"La logique vient de quitter la pièce.","surprise"
"L'ambiance de ce bar PMU à 10h du matin était poisseuse, sentant le café, l'alcool et l'échec.","degout"
"Votre maison est encore plus belle que sur les photos, nous sommes ébahis.","surprise"
"Mon dossier psychiatrique dit que je suis le seul à pouvoir les voir.","peur"
"La bombe sous la table affiche '00:01'.","peur"
"Je regarde le monde à travers une vitre salie par la peine.","tristesse"
"Le silence était plus menaçant que n'importe quel cri, c'était le silence de la haine.","colere"
"Le contact gluant d'une limace sur la main est une expérience traumatisante.","degout"
"Ton code est une grosse merde, il est illisible.","colere"
"Le sous-bois était sombre et silencieux, chaque craquement me faisait sursauter.","peur"
"J'ai une peur viscérale des hauteurs, même sur un simple balcon.","peur"
"La couleur d'un sirop de sureau maison est d'un rose qui enchante.","joie"
"Tous mes poils se sont hérissés sur mes bras.","peur"
"Vous avez donc décidé de vivre dans une cabane sans eau ni électricité ?","surprise"
"Je ne suis pas dans une simulation, je suis dans une dissection.","peur"
"Je suis resté figé, le cerveau incapable de traiter l'information.","surprise"
"Je suis affligé par la montée du complotisme et de l'irrationalité.","tristesse"
"L'injonction à être positif en toutes circonstances est une négation violente des émotions légitimes.","degout"
"La réunion de ce matin était un concentré de mauvaise foi.","degout"
"J'ai atteint mon seuil d'incompétence tolérable, et il a été dépassé depuis longtemps.","colere"
"Pouvez-vous me confirmer la réception de ce message ?","neutre"
"Ce jeu de rythme est si exigeant mais si gratifiant, chaque ""perfect"" est une victoire.","joie"
"Je suis pétrifié à l'idée que mon secret soit révélé au grand jour.","peur"
"La soutenance de sa thèse l'angoisse au plus haut point.","peur"
"La fermeture de notre département a été annoncée brutalement ce matin.","tristesse"
"L'album est un mélange de plusieurs styles musicaux.","neutre"
"J'ai perdu ma sauvegarde de plus de 100 heures de jeu, je suis dévasté.","tristesse"
"J'ai appris à faire mes propres pâtes fraîches, la texture est incomparable.","joie"
"L'odeur du goudron chaud se sentait sur la route en travaux.","neutre"
"La période de convalescence est estimée à six semaines.","neutre"
"Son air de victime perpétuelle me rend fou de rage.","colere"
"Le festival est maintenu, je n'osais plus y croire !","joie"
"J'ai enfin réussi à maîtriser la cuisson du riz à sushi, collant mais pas pâteux.","joie"
"L'atmosphère de ce thriller nordique est froide, sombre et oppressante.","peur"
"J'ai enfin battu ce boss de fin dans Elden Ring, je suis en transe !","joie"
"La formation sur le nouveau logiciel est obligatoire pour l'équipe.","neutre"
"Le projet de logement social a été approuvé, c'est une nouvelle qui fait chaud au cœur.","joie"
"C'est une honte pour notre pays, une véritable souillure.","colere"
"Ce marathon de films d'horreur entre amis a été une soirée parfaite.","joie"
"Une puanteur de renfermé et de moisi émanait de la cave.","degout"
"Ce critique de cinéma est un vendu qui encense n'importe quelle daube.","colere"
"Leur langage est bien plus complexe qu'on ne le supposait.","surprise"
"L'augmentation de la précarité étudiante est une réalité qui m'attriste profondément.","tristesse"
"Ce jeu de simulation agricole est l'évasion parfaite, une source de calme et de contentement.","joie"
"Je suis au stade où ma colère s'est transformée en une détermination glaciale.","colere"
"Cette tête de nœud a effacé des années de photos de famille.","colere"
"La lenteur de la bureaucratie est faite pour rendre fou.","colere"
"Le pardon accordé après une erreur est un acte qui amène une joie profonde et libératrice.","joie"
"Le dernier recensement des oiseaux montre une chute dramatique des populations.","tristesse"
"L'odeur d'un sac poubelle qui a fui dans le coffre de la voiture est un cauchemar tenace.","degout"
"Cette annonce a transformé ma journée du tout au tout.","joie"
"La fenêtre est fermée.","neutre"
"La présentation est conforme à la charte graphique.","neutre"
"Le goût d'un verre de lait dans lequel on a écrasé une cigarette.","degout"
"Cette chanson, c'est une merde commerciale, une soupe infâme.","degout"
"Il m'a fait un sale coup, ce salaud.","colere"
"Le refuge était le piège.","peur"
"Leur restaurant a fait faillite, c'était le rêve de toute une vie.","tristesse"
"J'ai la phobie des clowns, je ne peux pas en voir un sans paniquer.","peur"
"Il est inacceptable que de telles choses se produisent encore aujourd'hui.","colere"
"L'opéra est chanté en italien avec des surtitres en français.","neutre"
"L'annonce du retour d'un train de nuit entre les deux capitales est une nouvelle qui me ravit.","joie"
"Cette série a un humour qui me comble à chaque épisode.","joie"
"Les couloirs de l'hôpital, la nuit, ont une atmosphère vraiment pesante.","peur"
"Le souvenir de son premier 'je t'aime' est maintenant une source de douleur.","tristesse"
"Ce silence radio de sa part est de plus en plus inquiétant.","peur"
"Regarder cette image donne une sensation de vertige.","surprise"
"Tu ne devineras jamais ce qui vient de se passer.","surprise"
"Tu as vraiment nagé avec des requins ?","surprise"
"La sensation d'un vêtement humide sur la peau est horrible.","degout"
"J'ai les mains moites et glacées.","peur"
"La discussion était factuelle.","neutre"
"Tu as vraiment vu une étoile filante en plein jour ?","surprise"
"Tous les regards se sont tournés vers lui.","surprise"
"Le ballet silencieux des montgolfières dans le ciel du matin est un spectacle d'une poésie réjouissante.","joie"
"J'ai réussi à monter un mur en pierres sèches, c'est un travail difficile mais tellement gratifiant.","joie"
"Ce café a un goût de brûlé, c'est imbuvable, on dirait du jus de chaussette.","colere"
"La vue depuis le sommet du phare, embrassant la mer, est une récompense visuelle qui comble.","joie"
"Le cliquetis des verres qui trinquent était la bande-son d'un moment de pur partage.","joie"
"L'atmosphère était si tendue qu'on aurait pu la couper au couteau.","colere"
"Leur manque de respect pour la vie privée est une violation de l'âme.","colere"
"L'espace de stockage disponible est de 12 Go.","neutre"
"Ce sac à merde a détruit l'environnement pour le profit.","colere"
"Leur inertie est une force qui s'oppose à la vie même.","colere"
"Votre nouveau look vous rajeunit de dix ans, nous sommes bluffés.","surprise"
"Le menu du restaurant change au gré des saisons.","neutre"
"Il m'a attrapé par la cheville depuis sous le lit.","peur"
"La vue de la glaire qu'il a crachée, jaune et striée de sang, m'a coupé le souffle.","degout"
"Alors ça, c'est ce que j'appelle une nouvelle qui claque.","joie"
"Je suis triste de penser que mes petits-enfants ne connaîtront pas la beauté de la nature que j'ai connue.","tristesse"
"Mon corps s'est figé, mais mon esprit est conscient de tout.","peur"
"Tu as vraiment fait tout ce chemin à pied ?","surprise"
"Je suis prisonnier d'un labyrinthe de pensées sombres.","tristesse"
"Le fait de présenter mon partenaire à ma famille et de voir que tout le monde s'entend bien, quel bonheur.","joie"
"Perdre mon emploi a été un coup financier et moral terrible.","tristesse"
"Sérieusement, tu ne trouves pas ce silence inquiétant ?","peur"
"Le pardon semble impossible après une telle trahison.","tristesse"
"En revanche, l'ambiance au retour était funèbre.","tristesse"
"J'ai annulé ma soirée, je n'avais pas la tête à ça.","tristesse"
"La fin alternative de ce DVD change tout le sens du film.","surprise"
"Le passage piéton est matérialisé par des bandes blanches.","neutre"
"Une source de joie pure a jailli au plus profond de mon être.","joie"
"Je suis bouche bée.","surprise"
"Mon mentor a pris sa retraite, et le bureau semble si vide sans sa sagesse.","tristesse"
"L'odeur d'un plat oublié dans le four pendant une semaine, une masse carbonisée et puante.","degout"
"Mon baromètre intérieur est bloqué sur ""grand beau temps avec tendance euphorique"".","joie"
"La découverte d'un lac d'eau liquide sous la glace de Mars est une nouvelle majeure.","surprise"
"Une pluie fine et continue tombait sur la ville endormie.","tristesse"
"Leur irresponsabilité collective est un suicide sociétal.","colere"
"La lumière crue d'une supérette de nuit, éclairant des rayons à moitié vides.","tristesse"
"Putain, je me suis trompé de salle et j'ai applaudi à la fin d'un enterrement.","surprise"
"Je ne pensais pas être accepté dans cette université.","surprise"
"Le plafond descend lentement.","peur"
"Comment peux-tu cautionner un système qui broie les plus faibles ?","degout"
"L'atmosphère au travail s'est dégradée au point que je n'ai plus envie d'y aller.","tristesse"
"C'est juste... décourageant.","tristesse"
"Votre carte d'embarquement est prête.","neutre"
"Cette coïncidence est trop parfaite pour être honnête.","surprise"
"La fabrication de cet appareil est une catastrophe, c'est du plastique de merde qui va pas tenir deux jours.","colere"
"Leur règlementation est une insulte à la créativité.","colere"
"Ce groupe a complètement changé de style musical et c'est réussi.","surprise"
"Mon poème a été sélectionné pour le festival, je n'en reviens pas.","joie"
"Nous sommes choqués d'apprendre la fermeture de l'usine.","surprise"
"La nouvelle que mon ami a enfin terminé son roman après dix ans de travail m'a rempli d'une joie immense pour lui.","joie"
"Leur manque de respect est si flagrant que c'en est presque artistique.","colere"
"Le raccourci clavier est 'Ctrl+C'.","neutre"
"Le jeu de cartes suit des règles traditionnelles.","neutre"
"Le fils de pute qui a inventé les réunions Zoom devrait être crucifié.","colere"
"Le festival de musique classique a débuté hier soir.","neutre"
"La maladie des radiations me fait perdre mes cheveux.","peur"
"Les sous-titres à la télé décrivent mes pensées.","peur"
"L'atmosphère de ce lieu de débauche était poisseuse et malsaine.","degout"
"La fosse est pleine de pieux.","peur"
"Mon cœur bat la chamade au rythme d'un tambour de fête.","joie"
"L'impact de la pollution sur notre santé est une peur légitime.","peur"
"J'ai la phobie sociale, les grands groupes me provoquent des crises de panique.","peur"
"Ce vinaigre balsamique vieilli a une complexité de saveurs qui transforme une simple salade en un festin.","joie"
"Ce youtubeur est un bouffon qui fait des blagues de merde.","colere"
"Le musée local a récupéré une œuvre d'art volée, c'est une nouvelle qui me met en joie.","joie"
"La garantie constructeur couvre les pièces et la main d'œuvre.","neutre"
"L'air confiné du wagon était un mélange d'odeurs humaines insupportable.","degout"
